run,game_seconds,worker_target,base_target,posture,attack_threshold,retreat_threshold,reservation,objective,guidance
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-hard-002,24.642857142857146,32,2,defend,20,10,21,Establish a safe two-base economy with Gateway defenses against Zerg over the next 180 seconds.,"Train Probes immediately and Chronoboost the Nexus. Build first Pylon at 10 workers, then Gateway and one Assimilator. Add Cybernetics Core when Gateway completes. Establish the natural around 19 workers; limit workers to 19 until expansion capacity becomes available. Build one early Zealot, then Adepts and Stalkers for local defense. Add second Gateway after starting natural. Build additional Pylons as supply forecast requires. Scout with one Probe after starting Gateway; prioritize combat production if attacked."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-hard-002,78.03571428571429,32,2,defend,20,10,21,Complete Gateway defenses and establish a second mineral line while growing a sustainable economy.,"The first Pylon is already pending. Build the first Gateway as soon as it finishes; maintain Probe production and Chronoboost when legal. Start Cybernetics Core and one defensive Zealot after Gateway completion. At 19 workers save for the natural; hold Probe production near 19 until the second Nexus is close to completion. Add the second Gateway after starting the natural. Produce Adepts and Stalkers for home defense, then research Warpgate. Keep the existing single Assimilator; prioritize mineral saturation. Add Pylons according to supply forecast, not all immediately. Enemy army remains unknown."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-hard-002,137.5,36,2,defend,24,12,21,"Secure the natural expansion, complete core technology, and build a defensive Gateway army while growing two-base income.","Gateway is still pending. Start the Core and first defensive Zealot when it completes. Reach 19 workers, then prioritize saving for and building the natural. Pause further Probes until the natural is near completion; then grow toward 36 using both Nexuses. Saturate existing gas before adding the second Assimilator, after the natural starts. Add Gateways after expansion investment and produce Adepts against light ground units plus Stalkers for ranged and air defense. Start Warpgate after initial defenders. Build Pylons as forecast requires, accounting for the pending Pylon. Enemy army is unknown; defend both mineral lines and continue the existing scout."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-hard-002,196.07142857142858,38,2,defend,26,12,26,"Secure the pending natural, grow two-base income, and establish a defensive Gateway army with Robotics support.","Produce initial Adepts and a Stalker while the natural builds. Pause Probes at main-base saturation until the natural nears completion, then produce continuously toward 38. Saturate existing gas; add the second Assimilator as natural mineral income develops. Build supply on forecast. After initial defenders, add Robotics and the third Gateway; prioritize the first Immortal before the Observer. Warpgate is already started. Defend both bases and continue the assigned scout; enemy army remains unknown."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-hard-002,243.39285714285717,38,2,defend,30,14,,Saturate the natural and build a defensive Stalker–Immortal army while scouting Zerg.,"Main minerals and gas are saturated: pause additional Probes until the pending natural nears completion, then grow toward 38 workers. Keep two Assimilators. Complete initial Adepts, add Stalkers, and prioritize the first Immortal when Robotics finishes; make one Observer afterward. Add the third Gateway as mineral income improves. Build Pylons on forecast. Defend both bases and continue the assigned scout; unseen Zerg forces remain unknown."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-hard-002,269.64285714285717,38,2,defend,30,14,,Saturate both bases while defending the Zergling intrusion and building a Stalker–Immortal army.,"Both Nexuses are ready; resume steady Probe production to fill the empty mineral line. Existing defenders and pending Adepts should handle the single observed Zergling; defend locally and avoid chasing. Keep two gas buildings. Robotics is still pending, so do not reserve for Immortals yet. Once ready, prioritize the first Immortal before the Observer, then sustain Stalker and Immortal production. Add the third Gateway as income improves and Pylons as forecast requires. Continue the assigned scout."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-hard-002,377.3214285714286,44,2,defend,40,20,,Stabilize against the observed Roach force and rebuild a strong Immortal–Stalker army while maintaining two-base income.,"Recent losses and ten recently seen Roaches warrant local defense. Prioritize continuous Immortal production when Robotics becomes available, with Stalkers between cycles. Do not wait for every production ceiling. Add gas buildings incrementally and train additional Probes only for the new gas capacity; both mineral lines are saturated. Finish the pending battery, adding another only if needed to reach two total. Add Zealots as mineral-funded support while preserving gas for Immortals and Stalkers. Build forecast Pylons and add the fourth Gateway after immediate defenders. Existing mineral reserves support staying on two bases through this horizon."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-hard-002,430.3571428571429,60,3,attack,44,24,21,Secure a third mineral line while building an Immortal–Stalker force for a 44-supply attack.,"Save for the third Nexus now; override saving for defenders if attacked. Hold locally until 44 ready combat supply, then attack the remembered Hatchery without waiting for ceilings. Prioritize Immortals whenever Robotics is available. Cap workers at 44 until the third mineral line becomes available, then grow toward 60. Four Assimilators and four Gateways suffice. Add Pylons using supply forecasts and accessible powered placement to alleviate the recent warp-in placement failure. Keep the Observer escort and replenish losses."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-hard-002,485.53571428571433,60,3,attack,44,26,14,Complete third-base saturation and launch a 44-supply Immortal–Stalker attack while replenishing the army.,"Save for Immortals so cheap purchases stop starving Robotics production. Urgent supply takes precedence; maintain forecast headroom. Attack the remembered Hatchery at 44 ready combat supply without waiting for production ceilings. Pause worker production until the pending third Nexus finishes, then saturate its minerals toward 60 workers. Existing gas infrastructure suffices; do not retry Assimilators. Add the extra Gateways after core army production is underway. Keep the Observer escort and replenish losses."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-hard-002,525.5357142857143,60,3,attack,44,28,30,"Maintain the current attack, saturate the third base, and add Colossus support against Zerg ground forces.","Continue attacking the remembered Hatchery with the existing army; do not wait for technology or production ceilings. Build the urgent Pylon, then Robotics Bay for splash support. Maintain forecast supply headroom without building the full Pylon ceiling immediately. Prioritize Colossi once the Bay finishes and start range when affordable. Pause Probes until the third Nexus completes, then saturate minerals toward 60 workers. Four Assimilators suffice. Keep the Observer escort; add Gateways after core combat production. Enemy sightings are partial, so retreat if ready combat supply falls below the threshold."
